Country Name,Year,score_pca_economics,score_pca_wellbeing
Indonesia,2007,-0.7161694623319907,0.37308792183649553
Indonesia,2008,-0.7044469985452724,0.36309101456579007
Indonesia,2009,-0.7150585733015186,0.33964151182455304
Indonesia,2010,-0.7077643864992704,0.31057303013618853
Indonesia,2011,-0.7081994986867413,0.2519335018364388
Indonesia,2012,-0.7098444130136832,0.2694982978974998
Indonesia,2013,-0.6725802155608374,0.1724127522612574
Indonesia,2014,-0.6496361995117589,0.1443535289881524
Indonesia,2015,-0.625960692868381,0.1321432610274905
Indonesia,2016,-0.6301003125641665,0.14509883601519324
Indonesia,2017,-0.6110122813649345,0.12408842400005748
Indonesia,2018,-0.5994182838771622,0.10316663745500773
Indonesia,2019,-0.5832581418217531,0.12243217863796357
Indonesia,2020,-0.5046798064085483,0.03581898322325919
Indonesia,2021,-0.5102749141130849,-0.052789450736303034
Indonesia,2022,-0.49669478113823257,0.09373033563822142
Indonesia,2023,-0.4990053537288299,0.06800842528989334
Japan,2000,0.002922583973729048,0.08983170482584563
Japan,2001,-0.06988351457772839,0.09073567103060298
Japan,2002,-0.08657837287820269,0.09606670996819755
Japan,2003,-0.049765129696123483,0.07678225731215133
Japan,2004,-0.01885588275251568,0.0819192749301087
Japan,2005,-0.04417579022608972,0.048369748170500104
Japan,2006,-0.08491841569854217,0.08806063638597927
Japan,2007,-0.09653375330273235,0.08921451869960645
Japan,2008,-0.014363635786516338,0.10048938845557698
Japan,2009,0.04346580555384699,0.14507296845851086
Japan,2010,0.10293528763949325,0.18170778151096562
Japan,2011,0.14262815336720353,0.11413467799097599
Japan,2012,0.13756976716124358,0.14384737825613686
Japan,2013,-0.00599073067648459,0.1820765067698829
Japan,2014,-0.04908605045350914,0.18447012917886163
Japan,2015,-0.11561488526126137,0.21042976735709729
Japan,2016,-0.050898740176049256,0.1744369423768063
Japan,2017,-0.0681035033575679,0.1647953010910695
Japan,2018,-0.06269391003243743,0.12507042653196038
Japan,2019,-0.05091568510874145,0.09911897110113499
Japan,2020,-0.044927814939037525,0.11266659359891451
Japan,2021,-0.041236552553939404,0.09229673685215523
Japan,2022,-0.1288655031097305,0.04874825596113508
Japan,2023,-0.11630849366754159,0.02832250395721092
South Africa,2000,-0.270159132932729,-0.6975662804612839
South Africa,2001,-0.14739359676488073,-0.8147164661138316
South Africa,2002,-0.052435050790227145,-0.9521455137611542
South Africa,2003,-0.03421578091115218,-1.0181449374397569
South Africa,2004,-0.10937542927460797,-1.0132463230194986
South Africa,2005,-0.11221791872518694,-1.009909118753563
South Africa,2006,-0.14045664470994668,-0.9472881623129482
South Africa,2007,-0.1343924224531129,-0.9011118021325157
South Africa,2008,-0.13551601676399838,-0.7431553158098968
South Africa,2009,-0.06599773565895772,-0.7980907757827835
South Africa,2010,0.01933306558261383,-0.7797293978400764
South Africa,2011,0.04595044082212818,-0.7044466903723412
South Africa,2012,0.05744875335520161,-0.6453883506643925
South Africa,2013,0.05709708399390667,-0.6290258702848065
South Africa,2014,0.08416152222588913,-0.5973185817815911
South Africa,2015,0.10126266669379025,-0.6149968956903608
South Africa,2016,0.17420657745935553,-0.6377670147425882
South Africa,2017,0.23979976961417115,-0.6236950448703067
South Africa,2018,0.25187896209229377,-0.6235860199258378
South Africa,2019,0.32870206445198513,-0.6191557245296007
South Africa,2020,0.34692529902122893,-0.6751670955332665
South Africa,2021,0.6086797298834353,-0.8347124132783654
South Africa,2022,0.6090507541744129,-0.6942049523063188
South Africa,2023,0.5837132844491411,-0.6849776414323386
United States,2000,0.4020193134127272,0.10045264582543996
United States,2001,0.46377863263636293,0.0736891777856032
United States,2002,0.5492600037973453,0.07629847719199509
United States,2003,0.6037550762859593,0.07760928153849204
United States,2004,0.6594509538856015,0.09937257027970808
United States,2005,0.7241568385187879,0.07761836069133081
United States,2006,0.768169134843922,0.09862565524420838
United States,2007,0.8484909014007219,0.1289792966604657
United States,2008,0.9150580633432994,0.10885028237468523
United States,2009,1.0602301103684098,0.09589991877813255
United States,2010,1.1210338435096212,0.08174872762723803
United States,2011,1.1589977430139318,0.03670955051967424
United States,2012,1.1782399149273604,0.03388029752897104
United States,2013,1.1948929882892976,0.027020963993223873
United States,2014,1.1850804552987992,0.01745466354553267
United States,2015,1.1881756738263745,0.008308577890637964
United States,2016,1.223490576558472,-0.008346088829951276
United States,2017,1.2702391896701626,-0.041099689291276054
United States,2018,1.3286305148814341,-0.06231462814186174
United States,2019,1.3925351694063175,-0.07308913923311822
United States,2020,1.5815523126661768,-0.14353609231774966
United States,2021,1.7029379380230423,-0.15834238001766593
United States,2022,1.853811465466774,-0.1610270352005412
United States,2023,1.9900526039291837,-0.14176137300994518
